Stock Name,Date,Open,High,Low,Close,Volume,Chg%
ICICI Bank Ltd.,2022-07-15 00:00:00,753.25,759.0,744.2,751.2,6360000.0,-0.16
Eicher Motors Ltd.,2023-08-16 00:00:00,3346.95,3346.95,3286.1,3327.2,502270.0,-0.34
Tata Consultancy Services Ltd.,2020-10-07 00:00:00,2742.0,2770.0,2703.0,2735.95,9660000.0,0.8
HDFC Bank Ltd.,2022-07-19 00:00:00,1337.0,1358.55,1337.0,1348.05,7900000.0,0.04
Power Grid Corporation of India Ltd.,2021-01-14 00:00:00,114.16,115.02,112.86,113.69,12020000.0,0.04
Coal India Ltd.,2021-02-03 00:00:00,131.25,138.0,131.25,137.25,25480000.0,4.57
Reliance Industries Ltd.,2022-02-10 00:00:00,2395.7,2395.7,2365.1,2381.05,5750000.0,-0.1
Hero MotoCorp Ltd.,2020-09-24 00:00:00,2907.21,2944.81,2895.88,2914.15,1020000.0,-1.3
Hindustan Unilever Ltd.,2023-03-08 00:00:00,2487.0,2501.4,2467.2,2485.1,1450000.0,0.01
Adani Enterprises Ltd.,2022-03-30 00:00:00,1927.7,2015.0,1917.3,1995.25,3220000.0,4.07
SBI Life Insurance Company Ltd.,2021-02-23 00:00:00,853.0,874.4,849.0,869.7,1480000.0,2.43
Reliance Industries Ltd.,2019-11-04 00:00:00,1452.14,1457.19,1431.53,1443.96,6490000.0,0.05
Hindustan Unilever Ltd.,2021-09-08 00:00:00,2788.9,2810.0,2765.1,2800.9,946710.0,0.84
Coal India Ltd.,2021-05-19 00:00:00,146.45,152.5,145.1,151.85,24000000.0,3.69
Larsen & Toubro Ltd.,2022-04-06 00:00:00,1833.0,1858.0,1827.7,1852.8,2250000.0,0.91
HDFC Bank Ltd.,2022-02-25 00:00:00,1439.95,1465.9,1432.85,1456.1,9160000.0,2.59
HDFC Life Insurance Company Ltd.,2022-11-28 00:00:00,584.7,593.0,582.15,586.0,5800000.0,-0.1
Tech Mahindra Ltd.,2022-06-29 00:00:00,976.57,995.37,971.29,989.27,3770000.0,0.04
Tata Consumer Products Ltd.,2022-03-21 00:00:00,772.0,773.85,745.3,747.8,1890000.0,-3.17
Adani Enterprises Ltd.,2021-11-16 00:00:00,1759.45,1766.55,1706.9,1711.6,2170000.0,-2.17
Power Grid Corporation of India Ltd.,2020-08-14 00:00:00,100.14,100.14,96.51,97.23,17130000.0,-1.88
UPL Ltd.,2022-02-11 00:00:00,765.85,766.95,750.0,753.2,1620000.0,-2.19
Divi's Laboratories Ltd.,2021-12-14 00:00:00,4520.0,4662.0,4501.0,4654.4,883710.0,2.74
Adani Ports and Special Economic Zone Ltd.,2021-11-17 00:00:00,744.4,745.0,733.0,735.55,2440000.0,-1.46
Sun Pharmaceutical Industries Ltd.,2021-05-12 00:00:00,714.95,714.95,700.0,702.85,7250000.0,-0.74
Bajaj Finance Ltd.,2020-09-16 00:00:00,3517.95,3567.4,3481.65,3521.5,3910000.0,0.23
Kotak Mahindra Bank Ltd.,2020-04-24 00:00:00,1219.0,1258.0,1213.35,1239.55,6780000.0,-0.81
Tech Mahindra Ltd.,2021-12-06 00:00:00,1555.93,1569.06,1498.62,1503.37,2910000.0,-2.61
NTPC Ltd.,2021-10-28 00:00:00,141.3,141.85,136.3,137.35,20000000.0,-2.8
